Nombre de la empresa,Fuente de la información EBITDA,Fuente de la información CIF,CIF,EBITDA 2023
REPSOL PETROLEO SA,https://ranking-empresas.eleconomista.es/REPSOL-PETROLEO.html,https://ranking-empresas.eleconomista.es/REPSOL-PETROLEO.html,A28047223,214748364772.0
MERCADONA SA,https://ranking-empresas.eleconomista.es/MERCADONA.html,https://ranking-empresas.eleconomista.es/MERCADONA.html,A46103834,1956941000.0
REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,https://ranking-empresas.eleconomista.es/REPSOL-COMERCIAL-PRODUCTOS-PETROLIFEROS.html,https://ranking-empresas.eleconomista.es/REPSOL-COMERCIAL-PRODUCTOS-PETROLIFEROS.html,A80298839,401463000.0
ENDESA ENERGIA SAU,https://ranking-empresas.eleconomista.es/ENDESA-ENERGIA-SAU.html,https://ranking-empresas.eleconomista.es/ENDESA-ENERGIA-SAU.html,A81948077,214748364713.0
NATURGY APROVISIONAMIENTOS SA.,https://ranking-empresas.eleconomista.es/NATURGY-APROVISIONAMIENTOS.html,https://ranking-empresas.eleconomista.es/NATURGY-APROVISIONAMIENTOS.html,A82531062,307708000.0
GAS NATURAL COMERCIALIZADORA SA,https://ranking-empresas.eleconomista.es/GAS-NATURAL-COMERCIALIZADORA.html,https://ranking-empresas.eleconomista.es/GAS-NATURAL-COMERCIALIZADORA.html,A61797536,188904000.0
ENGIE ESPAÑA SL.,https://ranking-empresas.eleconomista.es/ENGIE-ESPANA.html,https://ranking-empresas.eleconomista.es/ENGIE-ESPANA.html,B82508441,252143094.0
IBERDROLA CLIENTES SOCIEDAD ANONIMA.,https://ranking-empresas.eleconomista.es/IBERDROLA-CLIENTES.html,https://ranking-empresas.eleconomista.es/IBERDROLA-CLIENTES.html,A95758389,1565342000.0
STELLANTIS ESPAÑA SOCIEDAD LIMITADA.,https://ranking-empresas.eleconomista.es/STELLANTIS-ESPANA.html,https://ranking-empresas.eleconomista.es/STELLANTIS-ESPANA.html,B50629187,668048000.0
REPSOL TRADING SA.,https://ranking-empresas.eleconomista.es/REPSOL-TRADING.html,https://ranking-empresas.eleconomista.es/REPSOL-TRADING.html,A82489451,529388000.0
SEAT SAU,https://ranking-empresas.eleconomista.es/SEAT-SAU.html,https://ranking-empresas.eleconomista.es/SEAT-SAU.html,A28049161,1111000000.0
PETROLEOS DEL NORTE SOCIEDAD ANONIMA,https://ranking-empresas.eleconomista.es/PETROLEOS-NORTE.html,https://ranking-empresas.eleconomista.es/PETROLEOS-NORTE.html,A48053243,434926000.0
BP ENERGIA ESPAÑA S.A.U.,https://ranking-empresas.eleconomista.es/BP-ENERGIA-ESPANA-SAU.html,https://ranking-empresas.eleconomista.es/BP-ENERGIA-ESPANA-SAU.html,A28135846,121344757.0
SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SME SA,https://ranking-empresas.eleconomista.es/ESTATAL-LOTERIAS-APUESTAS-ESTADO-SME.html,https://ranking-empresas.eleconomista.es/ESTATAL-LOTERIAS-APUESTAS-ESTADO-SME.html,A86171964,214748364722.0
CENTROS COMERCIALES CARREFOUR SA,https://ranking-empresas.eleconomista.es/CENTROS-COMERCIALES-CARREFOUR.html,https://ranking-empresas.eleconomista.es/CENTROS-COMERCIALES-CARREFOUR.html,A28425270,250695000.0
TELEFONICA DE ESPAÑA SAU,https://ranking-empresas.eleconomista.es/TELEFONICA-ESPANA-SAU.html,https://ranking-empresas.eleconomista.es/TELEFONICA-ESPANA-SAU.html,A82018474,885067000.0
ENDESA GENERACION SA,https://ranking-empresas.eleconomista.es/ENDESA-GENERACION.html,https://ranking-empresas.eleconomista.es/ENDESA-GENERACION.html,A82434697,1247019000.0
MERCEDES-BENZ ESPAÑA SAU,https://ranking-empresas.eleconomista.es/MERCEDES-BENZ-ESPANA-SAU.html,https://ranking-empresas.eleconomista.es/MERCEDES-BENZ-ESPANA-SAU.html,A79380465,192213000.0
AXPO IBERIA SLU,https://ranking-empresas.eleconomista.es/AXPO-IBERIA-SLU.html,https://ranking-empresas.eleconomista.es/AXPO-IBERIA-SLU.html,B83160994,99900021.0
RENAULT ESPAÑA SA,https://ranking-empresas.eleconomista.es/RENAULT-ESPANA.html,https://ranking-empresas.eleconomista.es/RENAULT-ESPANA.html,A47000518,288687000.0
LIDL SUPERMERCADOS SAU,https://ranking-empresas.eleconomista.es/LIDL-SUPERMERCADOS-SAU.html,https://ranking-empresas.eleconomista.es/LIDL-SUPERMERCADOS-SAU.html,A60195278,438332000.0
PAVILION ENERGY SPAIN SA.,https://ranking-empresas.eleconomista.es/PAVILION-ENERGY-SPAIN.html,https://ranking-empresas.eleconomista.es/PAVILION-ENERGY-SPAIN.html,A88410493,6026000.0
NATURGY CICLOS COMBINADOS SLU,https://ranking-empresas.eleconomista.es/NATURGY-CICLOS-COMBINADOS-SLU.html,https://ranking-empresas.eleconomista.es/NATURGY-CICLOS-COMBINADOS-SLU.html,B42884122,311320000.0
CEPSA COMERCIAL PETROLEO SAU,https://ranking-empresas.eleconomista.es/CEPSA-COMERCIAL-PETROLEO-SAU.html,https://ranking-empresas.eleconomista.es/CEPSA-COMERCIAL-PETROLEO-SAU.html,A80298896,109276000.0
PAN AMERICAN ENERGY SL.,https://ranking-empresas.eleconomista.es/PAN-AMERICAN-ENERGY.html,https://ranking-empresas.eleconomista.es/PAN-AMERICAN-ENERGY.html,B88260203,1719803000.0
IBERIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA,https://ranking-empresas.eleconomista.es/IBERIA-LINEAS-AEREAS-ESPANA-OPERADORA.html,https://ranking-empresas.eleconomista.es/IBERIA-LINEAS-AEREAS-ESPANA-OPERADORA.html,A28017648,952000000.0
IBERDROLA ENERGIA ESPAÑA SOCIEDAD ANONIMA.,https://ranking-empresas.eleconomista.es/IBERDROLA-ENERGIA-ESPANA.html,https://ranking-empresas.eleconomista.es/IBERDROLA-ENERGIA-ESPANA.html,A95758371,214748364762.0
"ARCELORMITTAL ESPAÑA, SA",https://ranking-empresas.eleconomista.es/ARCELORMITTAL-ESPANA.html,https://ranking-empresas.eleconomista.es/ARCELORMITTAL-ESPANA.html,A81046856,223233000.0
ALCAMPO SA,https://ranking-empresas.eleconomista.es/ALCAMPO.html,https://ranking-empresas.eleconomista.es/ALCAMPO.html,A28581882,233024000.0
BP GAS & POWER IBERIA SA.,https://ranking-empresas.eleconomista.es/BP-GAS-POWER-IBERIA.html,https://ranking-empresas.eleconomista.es/BP-GAS-POWER-IBERIA.html,A82422031,835351853.0
